GALBV00,001,H13-00 ,00000000000+,00000000456+,8MM ¤ì®h                 ,2,²É  ,19980930 

GALBV00,001,H13-00 ,00000000000+,00000000798+,10MM ¤ì®h                ,2,²É  ,19980930 

GALBV00,001,H13-00 ,00000000000+,00000000433+,3/2" ¥®°v                ,2,KG  ,19980930 

GALBV00,001,H13-00 ,00000000000+,00000029850+,¤ì½¦¯»(¤p)13.5kg         ,2,±í  ,19980831 

GALBV00,001,H13-00 ,00000000000+,00000007805+,¶À½¦ TITEBOND 50         ,2,±í  ,19980831 

GALBV00,001,H13-00 ,00000000000+,00000014826+,¶À½¦ TITEBOND 50         ,2,±í  ,19980930 

GALBV00,001,H13-00 ,00000000000+,00000015124+,¤ì½¦¯»(¤p)13.5kg         ,2,±í  ,19980930 

GALBV00,001,P01-00 ,00000000000+,00000011086+,PUPL-03                  ,2,KG  ,19980920 

GALBV00,001,P01-00 ,00000000000+,00000006692+,PU30¤Ñ®³¤ô               ,2,KG  ,19980920 

GALBV00,001,P01-00 ,00000000000+,00000002042+,¸H¥¬                     ,2,KG  ,19981012 

GALBV00,101,P01-00 ,00000000000+,00000000238+,#180¦Ç¬â¯È               ,2,±i  ,19980905 

GALBV00,101,P01-00 ,00000000000+,00000000119+,#240¦Ç¬â¯È               ,2,±i  ,19980905 

GALBV00,101,P01-00 ,00000000000+,00000000060+,#320¦Ç¬â¯È               ,2,±i  ,19980905 

GALBV00,101,P01-00 ,00000000000+,00000000486+,#120¬õ¥¬¬â               ,2,M   ,19980905 

GALBV00,101,P01-00 ,00000000000+,00000000143+,3/4"½¦¯È                 ,2,¨÷  ,19980905 

GALBV00,101,P01-00 ,00000000000+,00000000095+,150#¬õ¬â230X280          ,2,±i  ,19980905 

GALBV00,101,0008150,00000000800+,00000002993+,¦è¼wPUPL-03¬I®³¤         , ,KG  ,19980905 

GALBV00,101,0008150,00000000600+,00000002245+,¦è¼wPUPL-03¬I®³¤         , ,KG  ,19980907 

GALBV00,101,P01-00 ,00000000000+,00000000113+,¤M¤ù                     ,2,¤ù  ,19980908 

GALBV00,101,0008150,00000000400+,00000000795+,¦è¼wÀY«×¤O¬[40  ô        , ,KG  ,19980908 

GALBV00,101,P01-00 ,00000000000+,00000002177+,8710#¤f¸n                ,2,¥u  ,19980909 

GALBV00,101,0008150,00000000250+,00000000497+,¦è¼wÀY«×¤O¬[40  ô        , ,KG  ,19980909 

GALBV00,101,0008150,00000000400+,00000000751+,¦è¼w¥b°×­±º£40  ô        , ,KG  ,19980912 

GALBV00,101,K00-00 ,00000000000+,00000000240+,¥§ÀsÃ·                   ,2,¨÷  ,19980930 

GALBV00,101,K00-00 ,00000000000+,00000000425+,49"(CM) ¥Ë³q¯È           ,2,¦Ì  ,19980930 

GALBV00,101,K00-01 ,00000000000+,00000000043+,3"(75mm) ¤ô½¦¯È          ,2,M   ,19980930 

GALBV00,101,B01-50 ,00000000500+,00000001769+,3.6MM 4'X8'¥»¦a¶i¤f§¨(¬â), ,¥ó  ,19980819 

GALBV00,101,R03-25 ,00000000001+,00000000780+,1"Äå®ç¤ì,AB¯Å            ,1,M3  ,19980818 

GALBV00,101,R03-38 ,00000000003+,00000002955+,5/4"Äå®ç¤ì,A¯Å           ,1,M3  ,19980818 

GALBV00,101,R03-38 ,00000000002+,00000001631+,3/2"Äå®ç¤ì,A¯Å           ,1,M3  ,19980818 

GALBV00,101,R03-50 ,00000000006+,00000007056+,2"Äå®ç¤ì,A¯Å             ,1,M3  ,19980818 

GALBV00,101,R03-50 ,00000000007+,00000007789+,2"Äå®ç¤ì,AB¯Å            ,1,M3  ,19980818 

GALBV00,101,R28-50 ,00000000011+,00000001942+,50MM ¬õ±ö¹Ç,µu®Æ         ,1,M3  ,19980818 

GALBV00,101,V04-00 ,00000000225+,00000000144+,ª½¯¾õÑ¥ÖB¯Å              ,1,M2  ,19980819 

GALBV00,101,V06-00 ,00000001170+,00000003255+,¤s¯¾Äå®ç¥Ö A¯Å           ,1,M2  ,19980819 

GALBV00,101,0010140,00000000385+,00000001348+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980819 

GALBV00,101,0010140,00000000385+,00000001348+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980819 

GALBV00,101,0010140,00000000135+,00000000473+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980819 

GALBV00,101,0010140,00000001340+,00000004690+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980819 

GALBV00,101,0010140,00000001750+,00000006125+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980820 

GALBV00,101,0010140,00000000465+,00000001628+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980827 

GALBV00,101,0010200,00000000585+,00000001229+,China Packing Lab¥]¸Ë¤u®É,5,HRS ,19980930 

GALBV00,101,0010200,00000000585+,00000001229+,China Packing Lab¥]¸Ë¤u®É,5,HRS ,19980930 

GALBV00,101,0010300,00000000335+,00000000871+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980904 

GALBV00,101,0010300,00000000125+,00000000325+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980904 

GALBV00,101,0010300,00000001025+,00000002665+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980905 

GALBV00,101,0010300,00000000660+,00000001716+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980905 

GALBV00,101,0010300,00000000310+,00000000806+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980907 

GALBV00,101,0010300,00000000240+,00000000624+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980907 

GALBV00,101,0010300,00000000910+,00000002366+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980907 

GALBV00,101,0010300,00000001350+,00000003510+,China PT Lab ¼t¤ºªoº£    ,5,HRS ,19980908 

